epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.583,2.02138,2.16786,1.65156,0.27108,0.28664,0.22424,0.09235,2.11682,2.24025,1.69178,0.00033125,0.00033125,0.0672063
2,471.396,1.92968,1.76609,1.58787,0.38854,0.34765,0.28967,0.11501,2.15528,2.09496,1.75138,0.000653618,0.000653618,0.0341953
3,732.004,1.90107,1.67514,1.6053,0.3091,0.38882,0.29571,0.12147,2.00589,2.12932,1.6263,0.000964985,0.000964985,0.00117332
4,1018.36,1.84712,1.60261,1.57013,0.39021,0.36805,0.32015,0.13408,2.09141,1.74014,1.67554,0.0009505,0.0009505,0.0009505
5,1339.78,1.83342,1.54781,1.54505,0.4399,0.30434,0.33429,0.12915,2.09703,1.89446,1.67188,0.000934,0.000934,0.000934
6,1655.45,1.76947,1.45572,1.5013,0.37722,0.39537,0.33037,0.14141,2.05087,1.7981,1.62105,0.0009175,0.0009175,0.0009175
7,1920.98,1.73104,1.42734,1.48417,0.30749,0.40156,0.30313,0.1228,2.10449,1.87011,1.69055,0.000901,0.000901,0.000901
8,2196.27,1.72349,1.39458,1.48479,0.38584,0.40184,0.33607,0.12655,2.09459,2.05051,1.67378,0.0008845,0.0008845,0.0008845
9,2461.44,1.71743,1.37287,1.46213,0.38901,0.38252,0.3602,0.15169,2.11257,1.72386,1.67484,0.000868,0.000868,0.000868
10,2727.24,1.65589,1.28438,1.43207,0.42649,0.3867,0.35227,0.14871,2.14226,1.72665,1.67335,0.0008515,0.0008515,0.0008515
11,2995.38,1.66251,1.2502,1.43563,0.41598,0.40982,0.35265,0.1337,2.1548,1.74372,1.69798,0.000835,0.000835,0.000835
12,3346.56,1.58385,1.20004,1.40366,0.45735,0.408,0.39395,0.15517,2.13239,1.70081,1.69113,0.0008185,0.0008185,0.0008185
13,3689.69,1.57919,1.17628,1.3827,0.34258,0.43142,0.33167,0.13091,2.12007,1.71609,1.65472,0.000802,0.000802,0.000802
14,4017.51,1.5225,1.13708,1.36021,0.43126,0.40824,0.3868,0.15579,2.11683,1.73587,1.71171,0.0007855,0.0007855,0.0007855
15,4400.89,1.50943,1.08215,1.33145,0.39678,0.45602,0.40313,0.1702,2.06801,1.57681,1.67425,0.000769,0.000769,0.000769
16,4769.51,1.47332,1.03065,1.31937,0.35825,0.48143,0.34485,0.1458,2.14192,1.65607,1.72224,0.0007525,0.0007525,0.0007525
17,5162.32,1.45935,1.00324,1.29723,0.44792,0.41998,0.38941,0.16226,2.10407,1.57167,1.64926,0.000736,0.000736,0.000736
18,5534.38,1.39908,0.99964,1.28018,0.44418,0.48136,0.40258,0.16862,2.09552,1.60523,1.7009,0.0007195,0.0007195,0.0007195
19,5903.58,1.39502,0.95129,1.263,0.38988,0.47702,0.34192,0.14345,2.13696,1.66355,1.72968,0.000703,0.000703,0.000703
20,6372.88,1.37723,0.9273,1.26378,0.39759,0.42666,0.36809,0.15963,2.07324,1.61936,1.68837,0.0006865,0.0006865,0.0006865
21,6679.01,1.36839,0.92638,1.25222,0.45027,0.38254,0.38314,0.15994,2.08657,1.66711,1.70289,0.00067,0.00067,0.00067
22,6971.6,1.31802,0.90174,1.22985,0.43798,0.43534,0.40536,0.16967,2.12001,1.62149,1.7084,0.0006535,0.0006535,0.0006535
23,7266.46,1.27022,0.85162,1.20662,0.45206,0.39434,0.39338,0.16718,2.12129,1.57499,1.72422,0.000637,0.000637,0.000637
24,7552.64,1.26599,0.85343,1.2064,0.4826,0.36752,0.38082,0.15324,2.11526,1.50356,1.71331,0.0006205,0.0006205,0.0006205
25,7826.08,1.2834,0.84095,1.20201,0.47603,0.373,0.40123,0.16633,2.13742,1.53476,1.74907,0.000604,0.000604,0.000604
26,8144.89,1.26138,0.8272,1.1955,0.43956,0.42124,0.39552,0.16222,2.14642,1.58356,1.73638,0.0005875,0.0005875,0.0005875
27,8461.24,1.21862,0.79435,1.1648,0.48404,0.41321,0.37338,0.15215,2.12058,1.57216,1.72414,0.000571,0.000571,0.000571
28,8764.57,1.19498,0.78294,1.15921,0.50994,0.38441,0.40707,0.17358,2.09421,1.59205,1.69581,0.0005545,0.0005545,0.0005545
29,9062.33,1.17366,0.75792,1.13866,0.42427,0.42743,0.4125,0.17855,2.12799,1.55815,1.74435,0.000538,0.000538,0.000538
30,9410.55,1.16916,0.75363,1.14371,0.44578,0.46097,0.38575,0.16813,2.11614,1.62974,1.74562,0.0005215,0.0005215,0.0005215
31,9673.93,1.13607,0.71224,1.12464,0.49612,0.37189,0.40629,0.17669,2.10216,1.57345,1.75123,0.000505,0.000505,0.000505
