epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.418,1.12326,0.72988,1.10439,0.45576,0.36279,0.36498,0.15157,2.15042,1.68272,1.73898,0.000331667,0.000331667,0.067165
2,553.052,1.15211,0.75469,1.11056,0.55483,0.342,0.38923,0.15449,2.23064,1.64173,1.88056,0.000654028,0.000654028,0.034154
3,828.271,1.16193,0.77269,1.13178,0.37568,0.47865,0.39027,0.16002,2.15831,1.69518,1.78126,0.000965388,0.000965388,0.00113205
4,1114.87,1.19107,0.79836,1.13903,0.47083,0.43144,0.38836,0.16032,2.17925,1.67101,1.80899,0.0009505,0.0009505,0.0009505
5,1406.74,1.19592,0.79961,1.14488,0.43245,0.39466,0.35383,0.14595,2.1913,1.58196,1.84112,0.000934,0.000934,0.000934
6,1713.37,1.19944,0.77932,1.16149,0.48299,0.3643,0.37437,0.1531,2.19103,1.60151,1.83149,0.0009175,0.0009175,0.0009175
7,2015.69,1.15915,0.74789,1.10963,0.41159,0.35822,0.34293,0.13894,2.16607,1.69141,1.81321,0.000901,0.000901,0.000901
8,2312.36,1.15512,0.75655,1.1285,0.49627,0.35332,0.37447,0.15878,2.16053,1.68089,1.80689,0.0008845,0.0008845,0.0008845
9,2604.83,1.15523,0.74063,1.12337,0.53284,0.37838,0.38659,0.15512,2.1202,1.73068,1.76109,0.000868,0.000868,0.000868
10,2903.41,1.11597,0.70903,1.10665,0.43086,0.4598,0.41844,0.16925,2.20486,1.53916,1.89201,0.0008515,0.0008515,0.0008515
11,3205.56,1.10676,0.69312,1.09386,0.50673,0.39411,0.4033,0.15911,2.19605,1.57649,1.82629,0.000835,0.000835,0.000835
12,3550.84,1.08952,0.68499,1.08754,0.4442,0.42067,0.37134,0.15833,2.18759,1.71076,1.83779,0.0008185,0.0008185,0.0008185
13,3897.76,1.11143,0.68895,1.09791,0.42355,0.44617,0.37563,0.15478,2.19853,1.67776,1.83444,0.000802,0.000802,0.000802
14,4238.76,1.08126,0.6723,1.08895,0.56622,0.35924,0.36017,0.14724,2.22742,1.76022,1.84134,0.0007855,0.0007855,0.0007855
15,4529.28,1.05955,0.67554,1.07602,0.4821,0.36842,0.36885,0.15286,2.18037,1.61064,1.83636,0.000769,0.000769,0.000769
16,4832.33,1.05435,0.65702,1.08182,0.51067,0.38231,0.40239,0.16452,2.14889,1.57376,1.81313,0.0007525,0.0007525,0.0007525
17,5137.03,1.04213,0.64476,1.06954,0.5238,0.37455,0.37465,0.16352,2.1647,1.63373,1.8383,0.000736,0.000736,0.000736
18,5450.75,1.01427,0.62043,1.0595,0.5048,0.41958,0.40838,0.16882,2.18211,1.65736,1.86595,0.0007195,0.0007195,0.0007195
19,5783.34,1.01962,0.61852,1.05774,0.59946,0.36599,0.42466,0.17732,2.10936,1.58996,1.80991,0.000703,0.000703,0.000703
20,6071.63,1.00158,0.61026,1.04424,0.4366,0.45099,0.40727,0.17763,2.13557,1.58052,1.84646,0.0006865,0.0006865,0.0006865
21,6341.88,0.9743,0.59486,1.03042,0.50647,0.45364,0.39667,0.16136,2.1779,1.58161,1.86426,0.00067,0.00067,0.00067
22,6706.69,0.98876,0.59922,1.0336,0.4843,0.4553,0.43761,0.18896,2.16079,1.61861,1.85208,0.0006535,0.0006535,0.0006535
23,7092.12,0.96847,0.59221,1.03288,0.52572,0.42714,0.39066,0.16565,2.14923,1.64141,1.84325,0.000637,0.000637,0.000637
24,7446.22,0.96061,0.5828,1.02517,0.50136,0.3899,0.40611,0.16635,2.16412,1.75734,1.8329,0.0006205,0.0006205,0.0006205
25,7865.42,0.93714,0.56532,1.02518,0.61153,0.36899,0.40578,0.16522,2.17171,1.75551,1.83913,0.000604,0.000604,0.000604
26,8279.07,0.93397,0.55629,1.01476,0.58133,0.35916,0.3825,0.1603,2.21003,1.81285,1.87066,0.0005875,0.0005875,0.0005875
27,8573.09,0.91793,0.55997,1.01068,0.53901,0.38744,0.39055,0.16198,2.18092,1.75241,1.84305,0.000571,0.000571,0.000571
28,9053.26,0.88828,0.53232,0.99766,0.53417,0.3741,0.38182,0.15817,2.21825,1.68003,1.89325,0.0005545,0.0005545,0.0005545
29,9310.31,0.90617,0.54777,1.00878,0.5143,0.40968,0.40474,0.16917,2.19379,1.73405,1.892,0.000538,0.000538,0.000538
30,9653.13,0.86974,0.52006,0.99108,0.45061,0.44622,0.38732,0.16216,2.20321,1.72419,1.89995,0.0005215,0.0005215,0.0005215
31,9945.95,0.87224,0.52498,0.99142,0.5525,0.38297,0.40252,0.1637,2.21626,1.83538,1.88215,0.000505,0.000505,0.000505
32,10225.3,0.8632,0.5078,0.98328,0.47574,0.45358,0.3997,0.16893,2.14714,1.74911,1.80124,0.0004885,0.0004885,0.0004885
33,10499.5,0.85971,0.51347,0.9796,0.5041,0.45779,0.43075,0.18717,2.17467,1.66164,1.85937,0.000472,0.000472,0.000472
34,10849.7,0.8554,0.50921,0.98327,0.5032,0.42701,0.41396,0.17782,2.16691,1.6465,1.83542,0.0004555,0.0004555,0.0004555
35,11248.1,0.82638,0.49123,0.9719,0.48834,0.42327,0.40776,0.17838,2.16196,1.76124,1.8749,0.000439,0.000439,0.000439
36,11556,0.82238,0.49103,0.97079,0.45635,0.44202,0.38187,0.16775,2.21193,1.773,1.91365,0.0004225,0.0004225,0.0004225
37,11889.3,0.8071,0.48599,0.96798,0.49842,0.38969,0.39558,0.17483,2.16973,1.74855,1.88663,0.000406,0.000406,0.000406
38,12192.4,0.79217,0.46965,0.95688,0.48541,0.41153,0.38296,0.16119,2.19104,1.7646,1.89013,0.0003895,0.0003895,0.0003895
39,12495.8,0.79952,0.47506,0.95314,0.46713,0.38615,0.3976,0.1742,2.18965,1.79833,1.89915,0.000373,0.000373,0.000373
40,12836.4,0.78437,0.47421,0.958,0.57694,0.34581,0.39645,0.16543,2.22517,1.80744,1.89105,0.0003565,0.0003565,0.0003565
41,13168,0.77837,0.46336,0.94897,0.47263,0.42855,0.41146,0.17675,2.18906,1.86389,1.88631,0.00034,0.00034,0.00034
42,13452.6,0.76065,0.4607,0.94748,0.52551,0.39394,0.38055,0.16303,2.1947,1.85311,1.8995,0.0003235,0.0003235,0.0003235
